url,source,label,headline,origin
,NBC,1,"Business News: Reports and Video on Stocks, Inflation, Recalls and More",nbc_business.html
,NBC,1,Spirit Airlines is closing down. Thousands of employees and travelers are impacted.,nbc_business.html
,NBC,1,"After Spirit collapse strands travelers, here's what to know about refunds and rebooking",nbc_business.html
,NBC,1,"Spirit Airlines collapse strands travelers: What to know about refunds, rebooking and fares",nbc_business.html
,NBC,1,"Graphic: Track U.S., state and county gas prices",nbc_business.html
,NBC,1,Crowd shrinks as Berkshire Hathaway's new CEO leads the annual meeting for the first time,nbc_business.html
,NBC,1,Crowd shrinks as Berkshire Hathaway's new CEO leads the annual meeting for the first time Saturday,nbc_business.html
,NBC,1,"Spirit Airlines could shut down as soon as tomorrow, source says",nbc_business.html
,NBC,1,Gas prices hit $4.39 per gallon in biggest one-day jump since Iran ceasefire announced,nbc_business.html
,NBC,1,Gas prices jump to $4.39 per gallon in biggest one-day increase since Iran ceasefire announced,nbc_business.html
,NBC,1,Duffy details how other airlines will assist Spirit customers after flights canceled,nbc_business.html
,NBC,1,How Influencer Impersonation Scams Are Targeting Users Online,nbc_business.html
,NBC,1,Gas Prices Continue to Rise as Talks With Iran Remain Stalled,nbc_business.html
,NBC,1,Critics slam medical credit cards as patient shares account of being signed up in hospital,nbc_business.html
,NBC,1,Compass v. Zillow: The real-estate battle that's upended house hunting in America,nbc_business.html
,NBC,1,Will 'all-inclusive' packages be the old-school remedy to stop Las Vegas' decline?,nbc_business.html
,NBC,1,Sweetening the pot,nbc_business.html
,NBC,1,"Prediction market bets on the Iran war top $2 billion, NBC News analysis shows",nbc_business.html
,NBC,1,3 emerging forces that will shape the next phase of oil prices,nbc_business.html
,NBC,1,More pain at the pump,nbc_business.html
,NBC,1,"Build-A-Bear recalls roughly 36,000 Heart-Warming Hugs Bears",nbc_business.html
,NBC,1,"Thermos recalls 8.2M bottles after stoppers eject, causing injury and reported vision loss",nbc_business.html
,NBC,1,"Thermos recalls 8.2 million bottles after stoppers eject, causing injury and reported vision loss",nbc_business.html
,NBC,1,The Onion's bid to take over Alex Jones' Infowars is in limbo as new court battles emerge,nbc_business.html
,NBC,1,Republican state attorneys general join lawsuit to stop $6.2B local TV merger,nbc_business.html
,NBC,1,"'Arrest us all,' says congressional candidate who sells and wears '8647' merch",nbc_business.html
,NBC,1,Could an '8647' T-shirt get you in trouble?,nbc_business.html
,NBC,1,Companies must now quickly respond to stalking warrants in Oregon as new law takes effect,nbc_business.html
,NBC,1,Trump signs executive order expanding access to retirement accounts,nbc_business.html
,NBC,1,Trump signs bill to end DHS shutdown; Pete Hegseth faces questions from Senate committee amid Iran war,nbc_business.html
,NBC,1,FCC head says agency wasn't pressured to order review of ABC broadcast licenses,nbc_business.html
,NBC,1,Trump briefed on options for Iran as energy prices soar to 4-year high,nbc_business.html
,NBC,1,Kevin Warsh's job at the Federal Reserve just got a lot harder,nbc_business.html
,NBC,1,Big Tech earnings test record stock market rally as AI spending takes center stage,nbc_business.html
,NBC,1,Senators introduce bipartisan bill to ban Chinese vehicles and auto parts,nbc_business.html
,NBC,1,Fed keeps interest rates steady as Iran war fuels inflation,nbc_business.html
,NBC,1,Powell will remain on Fed board until DOJ probe is over,nbc_business.html
,NBC,1,"Jerome Powell, whose term as Fed chair is ending, will remain on the board until DOJ probe is over",nbc_business.html
,NBC,1,Uber adds hotel bookings and vacation rentals in a push to become a one-stop shop for travel,nbc_business.html
,NBC,1,Uber adds hotel bookings and vacation rentals in push to become a one-stop shop for travel,nbc_business.html
,NBC,1,NCAA on track to expand to a 76-team March Madness bracket next season,nbc_business.html
,NBC,1,"Gas prices hit $4.23 per gallon, a new high for the year",nbc_business.html
,NBC,1,Tariff refunds pose a tricky question for businesses: What to do with the money,nbc_business.html
,NBC,1,U.S. appears cool on Iran proposal to end war and reopen Hormuz without a nuclear deal,nbc_business.html
,NBC,1,"Judge OKs Purdue Pharma's criminal sentence, a last step before it dissolves",nbc_business.html
,NBC,1,"Judge OKs OxyContin maker Purdue Pharma's criminal sentence, a last step before it dissolves",nbc_business.html
,NBC,1,FCC directs Disney-owned TV stations to file early license renewals,nbc_business.html
,NBC,1,White House ramps up pressure on ABC to fire Jimmy Kimmel over first lady remark,nbc_business.html
,NBC,1,Tech stocks slide following report on OpenAI missing key targets,nbc_business.html
,NBC,1,United Arab Emirates quits OPEC as Iran war raises Gulf tensions,nbc_business.html
,NBC,1,Caitlin Clark is publishing a children's book based on her life,nbc_business.html
,NBC,1,Trump officials point finger at Democrats and the media for political violence,nbc_business.html
,NBC,1,Trump officials point finger at Democrats and the media for political violence in wake of correspondents' dinner shooting,nbc_business.html
,NBC,1,"Trump and first lady rip Jimmy Kimmel, call on ABC to 'take a stand'",nbc_business.html
,NBC,1,Trump uses the correspondents' dinner shooting to renew his White House ballroom push,nbc_business.html
,NBC,1,Fuel is so expensive that America's shrimpers can't afford to work,nbc_business.html
,NBC,1,The latest Iran war casualty: America's shrimping industry,nbc_business.html
,NBC,1,Trump removed from the room at the White House Correspondents' Dinner,nbc_business.html
,NBC,1,Trump evacuated from the room following shooting at the White House Correspondents' Association Dinner,nbc_business.html
,NBC,1,Kamala Harris expected to blame Democrats and Republicans for failed economic policy,nbc_business.html
,NBC,1,Kamala Harris expected to blame Democrats and Republicans for failed economic policy at state party dinner,nbc_business.html
,NBC,1,How to spring-clean your money,nbc_business.html
,NBC,1,Spring-clean your money,nbc_business.html
,NBC,1,Polymarket tries to show it can play by the rules,nbc_business.html
,NBC,1,Justice Department drops investigation into Federal Reserve and Jerome Powell,nbc_business.html
,NBC,1,"JetBlue allegedly used private customer data like internet history to set prices, lawsuit says",nbc_business.html
,NBC,1,Brewing Trader Joe's controversy: Customers allege they were misled about coffee's low caffeine,nbc_business.html
,NBC,1,Mike Vrabel says he's 'committed to seeking counseling' starting this weekend,nbc_business.html
,NBC,1,Mike Vrabel to skip part of NFL draft for counseling in wake of Dianna Russini scandal,nbc_business.html
,NBC,1,U.S. special forces soldier involved in Maduro raid charged with betting on the operation,nbc_business.html
,NBC,1,U.S. soldier involved in Maduro raid charged with betting on the operation,nbc_business.html
,NBC,1,"Five years after GameStop, a new wave of meme stocks emerge in market shaken by war",nbc_business.html
,NBC,1,Meme stocks find a new audience in a market reeling from Iran war volatility,nbc_business.html
,NBC,1,What to know if your flight is canceled amid rising jet fuel costs,nbc_business.html
,NBC,1,Warner Bros. Discovery shareholders approve Paramount Skydance merger,nbc_business.html
,NBC,1,"From condoms and shoes to airlines, consumers face expanding fallout from Iran war",nbc_business.html
,NBC,1,How Wall Street is setting records even with the Iran war still going on,nbc_business.html
,NBC,1,Possible $500M Spirit Airlines bailout by Trump admin fuels warning from experts,nbc_business.html
,NBC,1,Possible Spirit rescue fuels new fears about government involvement in business,nbc_business.html
,NBC,1,"NFL defended streaming strategy in meeting with Trump administration regulators, FCC filing shows",nbc_business.html
,NBC,1,Federal judge dismisses Laura Loomer's defamation suit against Bill Maher,nbc_business.html
,NBC,1,Kalshi fines and suspends three politicians for 'insider trading' on their own races,nbc_business.html
,NBC,1,Blockchain billionaire Justin Sun takes Trump family's crypto firm to court,nbc_business.html
,NBC,1,Blockchain billionaire Sun takes Trump family’s crypto firm to court,nbc_business.html
,NBC,1,Spirit Airlines nears deal with Trump administration for $500 million rescue package,nbc_business.html
,NBC,1,SpaceX says it can buy AI coding tool Cursor for $60B later this year,nbc_business.html
,NBC,1,Kansas City Royals announce new stadium plans with help from Hallmark Cards,nbc_business.html
,NBC,1,Apple's choice for new CEO suggests the company is cool with no longer being cool,nbc_business.html
,NBC,1,Tech giant's transition,nbc_business.html
,NBC,1,"Top podcasters run gambling ads that can reach kids, report says",nbc_business.html
,NBC,1,Kash Patel sues The Atlantic over report alleging excessive drinking and absences,nbc_business.html
,NBC,1,"Apple says John Ternus will be new CEO, Tim Cook will transition to executive chairman",nbc_business.html
,NBC,1,How grocery prices have changed since Trump took office,nbc_business.html
,NBC,1,How eggs-pensive?,nbc_business.html
,NBC,1,The Onion relaunches InfoWars as legal wrangling continues,nbc_business.html
,NBC,1,"Oil prices jump, adding to weeks of swings over Strait of Hormuz",nbc_business.html
,NBC,1,Oil prices jump amid renewed tensions over the Strait of Hormuz,nbc_business.html
,NBC,1,"Into the world of competitive rock, paper, scissors",nbc_business.html
,NBC,1,What to know if you plan to fly Spirit Airlines in the coming weeks,nbc_business.html
,NBC,1,Oil plunges to lowest price in weeks after Iran says it will fully open Strait of Hormuz,nbc_business.html
,NBC,1,Oil prices plunge 11% after Iran says Strait of Hormuz is open for commercial vessels,nbc_business.html
,NBC,1,The Iran war's next hidden cost: Higher prices for plastic,nbc_business.html
,NBC,1,Iran war's next hidden cost,nbc_business.html
,NBC,1,"Airline adding bunk beds for economy travelers but bans snacks, smells and cuddling",nbc_business.html
,NBC,1,David Ellison vows Paramount–Warner Bros. Discovery merger won't cut film output,nbc_business.html
,NBC,1,Is America in a vibecession? Depends on who you ask.,nbc_business.html
,NBC,1,Is America in a vibecession?,nbc_business.html
,NBC,1,"Europe has 'maybe 6 weeks of jet fuel left,' energy agency head says",nbc_business.html
,NBC,1,Trump backed this giant TV merger. Then his allies and opponents teamed up to block it.,nbc_business.html
,NBC,1,Merger yields strange bedfellows,nbc_business.html
,NBC,1,"Live Nation illegally monopolized ticketing market, jury in antitrust trial finds",nbc_business.html
,NBC,1,U.S. set to launch tariff refund system on April 20,nbc_business.html
,NBC,1,S&P 500 hits all-time high as investors shrug off Iran war oil price spike,nbc_business.html
,NBC,1,"Allbirds, once a buzzy shoe startup, pivots to AI",nbc_business.html
,NBC,1,DOJ officials attempt to 'tour' the Fed's renovations as probe stalls,nbc_business.html
,NBC,1,U.S. military turns back ships amid hope for new peace talks,nbc_business.html
,NBC,1,Tax refunds are up 11% this year. Here's what you should do with yours.,nbc_business.html
,NBC,1,5 smart ways to spend your tax refund,nbc_business.html
,NBC,1,Oil prices might be starting to come down for a worrisome reason,nbc_business.html
,NBC,1,Oil prices may be starting to come down for a worrisome reason,nbc_business.html
,NBC,1,Amazon inks $11.57 billion deal for satellite firm Globalstar to challenge Musk's Starlink,nbc_business.html
,NBC,1,Amazon signs $11.57 billion deal for satellite firm Globalstar to challenge Musk's Starlink,nbc_business.html
,NBC,1,Famed ESPN college basketball voice Dick Vitale diagnosed with cancer for a fifth time,nbc_business.html
,NBC,1,Fed nominee Kevin Warsh discloses assets worth more than $100 million,nbc_business.html
,NBC,1,Fed nominee Kevin Warsh discloses assets worth over $100 million,nbc_business.html
,NBC,1,One of the most prominent investors in the Trump family's crypto company is now criticizing it,nbc_business.html
,NBC,1,"Stocks are rising again, but not because things are getting better",nbc_business.html
,NBC,1,Oil prices rise as stocks erase losses sparked by Iran war,nbc_business.html
,NBC,1,Hollywood stars sign open letter protesting the Paramount-Warner Bros. merger,nbc_business.html
,NBC,1,More Americans are bulking up on meat as RFK Jr. declares 'war on protein is over',nbc_business.html
,NBC,1,Beefing with beef,nbc_business.html
,NBC,1,How the AI and crypto industries are pouring tens of millions of dollars into elections,nbc_business.html
,NBC,1,"Two industries, one playbook",nbc_business.html
,NBC,1,Demand is pushing World Cup and Olympics ticket prices to new heights,nbc_business.html
,NBC,1,Pushing up prices,nbc_business.html
,NBC,1,What to know about tax breaks for tips and overtime when filing state tax returns,nbc_business.html
,NBC,1,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,nbc_business.html
,NBC,1,"AI runs this store. It's lied, surveilled workers and tried to hire someone in Afghanistan.",nbc_business.html
,NBC,1,The law that would have changed Blake Lively's case,nbc_business.html
,NBC,1,Gig economy gaps,nbc_business.html
,NBC,1,"Don't try to play the U.S. in peace talks, Vance warns Iran, as Strait of Hormuz remains closed",nbc_business.html
,NBC,1,Trump's latest tariffs face a new test in federal court,nbc_business.html
,NBC,1,Masters gnomes a hot commodity amid speculation this is their final year,nbc_business.html
,NBC,1,Consumer prices jumped 0.9% in March as Iran war sent gas prices soaring,nbc_business.html
,NBC,1,Irish fuel protests enter fourth day amid rising gasoline costs triggered by the Iran war,nbc_business.html
,NBC,1,"Irish fuel protests enter fourth day as government seeks to head off shortages, open blocked roads",nbc_business.html
,NBC,1,"Documents reveal how Live Nation muscled venues, artists — while under government scrutiny",nbc_business.html
,NBC,1,"Documents reveal how Live Nation muscled venues, artists and rivals — even while under government scrutiny",nbc_business.html
,NBC,1,Trump bashes MAGA media figures over their Iran war criticism,nbc_business.html
,NBC,1,Oil prices hover around $100 as concerns about ceasefire persist,nbc_business.html
,NBC,1,Oil prices hover around $100 as concerns about U.S.-Iran ceasefire persist,nbc_business.html
,NBC,1,AI's impact on jobs in America is changing. New data sheds light on how.,nbc_business.html
,NBC,1,"Justice Department investigating the NFL over subscription fee concerns, sources say",nbc_business.html
,NBC,1,How Trump's tax law boosts the wealthy and leaves behind some workers he promised to help,nbc_business.html
,NBC,1,'Gaslit' by the government,nbc_business.html
,NBC,1,Husband arrested after American woman's disappearance in Bahamas,nbc_business.html
,NBC,1,Former Army employee charged with leaking classified info to journalist,nbc_business.html
,NBC,1,"Oil plunges on Iran ceasefire news, setting the stage for some relief on gas prices",nbc_business.html
,NBC,1,"As U.S. and Iran agree to a ceasefire, what's actually in the deal — and will it last?",nbc_business.html
,NBC,1,Why the price you pay for oil won't return to pre-war levels — despite the ceasefire with Iran,nbc_business.html
,NBC,1,Oil's well that ends well,nbc_business.html
,NBC,1,Pittsburgh Pirates Konnor Griffin signs $140M deal less than a week after making debut,nbc_business.html
,NBC,1,Pittsburgh Pirates teen Konnor Griffin signs $140 million deal less than a week after making debut,nbc_business.html
,NBC,1,"Oil prices plunge 15%, stock futures rally after Trump announces ceasefire",nbc_business.html
,NBC,1,"Oil prices plunge 15%, stock futures surge after Trump announces Iran war ceasefire",nbc_business.html
,NBC,1,Oil briefly hits $117 as Trump's Strait of Hormuz deadline approaches,nbc_business.html
,NBC,1,Oil jumps above $117 ahead of Trump's Strait of Hormuz deadline,nbc_business.html
,NBC,1,"Joseph J. Collins, pivotal figure in TV's transition to cable and internet, dies at 81",nbc_business.html
,NBC,1,Energy crisis has more Americans rethinking what they drive,nbc_business.html
,NBC,1,American woman missing after husband reports she fell overboard during Bahamas trip,nbc_business.html
,NBC,1,Savannah Guthrie returns to 'TODAY' as search for mother goes on: 'It's good to be home',nbc_business.html
,NBC,1,Savannah Guthrie returns to 'TODAY' amid search for mother: 'It's good to be home',nbc_business.html
,NBC,1,"Iran war's shock waves threaten England's farms 6,000 miles away",nbc_business.html
,NBC,1,"Chaos 6,000 miles away",nbc_business.html
,NBC,1,What falling wage growth says about where the U.S. economy is heading,nbc_business.html
,NBC,1,Democrats target prediction markets in anti-corruption push,nbc_business.html
,NBC,1,What now? Investors talk strategy after Trump offers no indication of Iran cooldown,nbc_business.html
,NBC,1,"U.S. added 178,000 jobs in March, a resilient labor market just as Iran war escalated",nbc_business.html
,NBC,1,"U.S. added 178,000 jobs in March, reflecting resilient labor market just as Iran war escalated",nbc_business.html
,NBC,1,"U.S. oil has its biggest one-day price increase in six years, driving up the cost of gas",nbc_business.html
,NBC,1,"U.S. oil has its biggest one-day price increase in six years, driving the cost of gas even higher",nbc_business.html
,NBC,1,Is America on the cusp of a farm crisis?,nbc_business.html
,NBC,1,Trump gives prime-time address on war in Iran: Highlights,nbc_business.html
,NBC,1,Prediction markets promised more clarity in elections. The reality is messier.,nbc_business.html
,NBC,1,Republican leaders announce two-track plan to end the DHS shutdown,nbc_business.html
,NBC,1,"As Hershey resumes using chocolate in most products, Reese's grandson may taste sweet victory",nbc_business.html
,NBC,1,Hershey to resume using chocolate in most products; Reese’s grandson may taste sweet victory,nbc_business.html
,NBC,1,"Stocks have their worst quarter since 2022, raising doubts about Trump's economic playbook",nbc_business.html
,NBC,1,A global jet fuel shortage is raising the cost of air travel,nbc_business.html
,NBC,1,Average U.S. gas price hits $4 for the first time since 2022,nbc_business.html
,NBC,1,U.S. crude tops $100 and the S&P 500 approaches correction as Iran war enters second month,nbc_business.html
,NBC,1,Are rising gas prices just the start? Economic analysts warn the worst is yet to come,nbc_business.html
,NBC,1,The world economy is experiencing the most severe oil shock in decades. The worst could still be on the way.,nbc_business.html
,NBC,1,Trump says he wants Iran's oil and could seize Kharg Island,nbc_business.html
,NBC,1,Trump says his 'preference' would be to 'take the oil in Iran',nbc_business.html
,NBC,1,Body found in Colombia amid search for missing U.S. flight attendant,nbc_business.html
,NBC,1,When will TSA lines go back to normal? Travelers may face delays for days or weeks,nbc_business.html
